Player,"Position
",Age,Matches Played,Starts,Minutes Played,No of 90 minutes played,Goals,Assists,Non-Penalty Goals,"
Penalty Goals",Penalty Kicks Attempted,Yellow Card,Red Card,Goals per 90 minutes,"Assists
per 90 minutes",G+A per 90 minutes,"   Non-Penalty Goals per 90 minutes
",Non-Penalty G+A per 90 minutes,Team
Alessio Cragno,GK,26,0,0,,,,,,,,,,,,,,,Italy
Pierluigi Gollini,GK,25,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Italy
Alex Meret,GK,23,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Italy
Salvatore Sirigu,GK,34,4,4,346,3.8,0,0,0,0,0,0,0,0,0,0,0,0,Italy
Gianluigi Donnarumma,GK,21,4,4,357,4,0,0,0,0,0,1,0,0,0,0,0,0,Italy
Luca Pellegrini,DF,21,0,0,,,,,,,,,,,,,,,Italy
Mattia De Sciglio,DF,28,2,0,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Italy
Leonardo Spinazzola,DF,27,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Italy
Danilo D'Ambrosio,DF,32,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Italy
Armando Izzo,DF,28,2,1,112,1.2,0,0,0,0,0,0,0,0,0,0,0,0,Italy
Gianluca Mancini,DF,24,2,2,155,1.7,0,0,0,0,0,0,0,0,0,0,0,0,Italy
Cristiano Biraghi,DF,28,2,2,177,2,0,1,0,0,0,0,0,0,0.51,0.51,0,0.51,Italy
Giovanni Di Lorenzo,DF,27,2,2,180,2,0,1,0,0,0,0,0,0,0.5,0.5,0,0.5,Italy
Giorgio Chiellini,DF,36,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,Italy
Alessio Romagnoli,DF,26,3,3,270,3,2,0,2,0,0,0,0,0.67,0,0.67,0.67,0.67,Italy
Francesco Acerbi,DF,32,3,3,270,3,1,0,1,0,0,0,0,0.33,0,0.33,0.33,0.33,Italy
Alessandro Florenzi,DF,29,4,3,353,3.9,0,0,0,0,0,0,0,0,0,0,0,0,Italy
Emerson Palmieri,DF,26,5,5,344,3.8,0,2,0,0,0,0,0,0,0.52,0.52,0,0.52,Italy
Leonardo Bonucci,DF,33,8,7,611,6.8,1,3,1,0,0,1,0,0.15,0.44,0.59,0.15,0.59,Italy
Rolando Mandragora,MF,23,0,0,,,,,,,,,,,,,,,Italy
Gaetano Castrovilli,MF,23,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Italy
Bryan Cristante,MF,25,1,1,90,1,0,1,0,0,0,0,0,0,1,1,0,1,Italy
Stefano Sensi,MF,25,2,1,112,1.2,0,0,0,0,0,0,0,0,0,0,0,0,Italy
Sandro Tonali,MF,20,3,2,197,2.2,0,0,0,0,0,1,0,0,0,0,0,0,Italy
Marco Verratti,MF,28,5,5,440,4.9,1,0,1,0,0,2,0,0.2,0,0.2,0.2,0.2,Italy
Nicolò Barella,MF,23,7,7,559,6.2,2,2,2,0,0,1,0,0.32,0.32,0.64,0.32,0.64,Italy
Jorginho,MF,29,7,7,630,7,3,1,0,3,3,2,0,0.43,0.14,0.57,0,0.14,Italy
Nicolò Zaniolo,"MF,FW",21,3,2,156,1.7,2,1,2,0,0,0,0,1.15,0.58,1.73,1.15,1.73,Italy
Stephan El Shaarawy,"FW,MF",28,2,0,44,0.5,1,1,1,0,0,0,0,2.05,2.05,4.09,2.05,4.09,Italy
Riccardo Orsolini,"FW,MF",24,1,0,45,0.5,1,1,1,0,0,0,0,2,2,4,2,4,Italy
Leonardo Pavoletti,FW,32,0,0,,,,,,,,,,,,,,,Italy
Moise Kean,FW,20,0,0,,,,,,,,,,,,,,,Italy
Kevin Lasagna,FW,28,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Italy
Fabio Quagliarella,FW,38,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Italy
Vincenzo Grifo,FW,27,1,1,90,1,0,1,0,0,0,0,0,0,1,1,0,1,Italy
Lorenzo Pellegrini,FW,24,3,1,130,1.4,1,0,1,0,0,0,0,0.69,0,0.69,0.69,0.69,Italy
Ciro Immobile,FW,30,3,3,243,2.7,3,1,3,0,0,0,0,1.11,0.37,1.48,1.11,1.48,Italy
Lorenzo Insigne,FW,29,4,4,355,3.9,3,1,3,0,0,0,0,0.76,0.25,1.01,0.76,1.01,Italy
Federico Bernardeschi,FW,26,7,4,386,4.3,2,1,2,0,0,1,0,0.47,0.23,0.7,0.47,0.7,Italy
Andrea Belotti,FW,27,7,4,391,4.3,5,2,5,0,0,0,0,1.15,0.46,1.61,1.15,1.61,Italy
Federico Chiesa,FW,23,6,5,394,4.4,1,3,1,0,0,0,0,0.23,0.69,0.91,0.23,0.91,Italy
Sinan Bolat,GK,32,0,0,,,,,,,,,,,,,,,Turkey
Altay Bayındır,GK,22,0,0,,,,,,,,,,,,,,,Turkey
Uğurcan Çakır,GK,24,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Turkey
Mert Günok,GK,31,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,Turkey
Mert Müldür,DF,21,0,0,,,,,,,,,,,,,,,Turkey
Yıldırım Mert Çetin,DF,24,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Turkey
Ozan Kabak,DF,20,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Turkey
Hasan Ali Kaldırım,DF,31,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,Turkey
Çağlar Söyüncü,DF,24,4,3,315,3.5,0,0,0,0,0,1,0,0,0,0,0,0,Turkey
Umut Meraş,DF,25,5,5,420,4.7,0,0,0,0,0,0,0,0,0,0,0,0,Turkey
Kaan Ayhan,DF,26,7,5,447,5,2,0,2,0,0,3,0,0.4,0,0.4,0.4,0.4,Turkey
Zeki Çelik,DF,23,7,7,591,6.6,0,0,0,0,0,2,0,0,0,0,0,0,Turkey
Merih Demiral,DF,22,8,8,709,7.9,0,1,0,0,0,2,0,0,0.13,0.13,0,0.13,Turkey
Oğuzhan Özyakup,MF,28,0,0,,,,,,,,,,,,,,,Turkey
Efecan Karaca,MF,31,0,0,,,,,,,,,,,,,,,Turkey
Abdülkadir Parmak,MF,26,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Turkey
Abdülkadir Ömür,MF,21,2,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Turkey
Berkay Özcan,MF,22,1,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Turkey
Güven Yalçın,MF,22,2,1,51,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Turkey
Deniz Turuc,MF,28,1,1,90,1,1,0,1,0,0,0,0,1,0,1,1,1,Turkey
Nazim Sangaré,MF,26,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Turkey
Ömer Bayram,MF,29,2,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,Turkey
Okay Yokuşlu,MF,26,2,2,135,1.5,0,0,0,0,0,1,0,0,0,0,0,0,Turkey
Emre Belözoğlu,MF,40,2,2,155,1.7,0,0,0,0,0,1,0,0,0,0,0,0,Turkey
Yusuf Yazıcı,MF,24,7,2,263,2.9,1,1,1,0,0,1,0,0.34,0.34,0.68,0.34,0.68,Turkey
Dorukhan Toköz,MF,24,3,3,259,2.9,1,2,1,0,0,1,0,0.35,0.69,1.04,0.35,1.04,Turkey
Kenan Karaman,MF,26,5,4,339,3.8,0,0,0,0,0,1,0,0,0,0,0,0,Turkey
Mahmut Tekdemir,MF,33,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,Turkey
İrfan Kahveci,MF,25,6,5,425,4.7,0,1,0,0,0,1,0,0,0.21,0.21,0,0.21,Turkey
Ozan Tufan,MF,25,8,6,560,6.2,1,0,1,0,0,2,0,0.16,0,0.16,0.16,0.16,Turkey
Cengiz Ünder,"MF,FW",23,2,2,164,1.8,1,0,1,0,0,0,0,0.55,0,0.55,0.55,0.55,Turkey
Hakan Çalhanoğlu,"MF,FW",26,7,5,470,5.2,0,2,0,0,0,0,0,0,0.38,0.38,0,0.38,Turkey
Yunus Mallı,"FW,MF",28,0,0,,,,,,,,,,,,,,,Turkey
Emre Kılınç,"FW,MF",26,2,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Turkey
Ahmed Kutucu,FW,20,1,1,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,Turkey
Enes Ünal,FW,23,1,1,90,1,2,0,1,1,1,0,0,2,0,2,1,1,Turkey
Cenk Tosun,FW,29,4,3,280,3.1,3,0,3,0,0,1,0,0.96,0,0.96,0.96,0.96,Turkey
Burak Yılmaz,FW,35,5,5,450,5,0,0,0,0,0,1,0,0,0,0,0,0,Turkey
Jonas Omlin,GK,27,0,0,,,,,,,,,,,,,,,Switzerland
Yvon Mvogo,GK,26,0,0,,,,,,,,,,,,,,,Switzerland
Yann Sommer,GK,32,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,Switzerland
François Moubandje,DF,30,0,0,,,,,,,,,,,,,,,Switzerland
Timm Klose,DF,32,0,0,,,,,,,,,,,,,,,Switzerland
Eray Cömert,DF,22,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Switzerland
Renato Steffen,DF,29,4,1,126,1.4,0,0,0,0,0,1,0,0,0,0,0,0,Switzerland
Fabian Schär,DF,29,5,5,450,5,1,1,1,0,0,1,0,0.2,0.2,0.4,0.2,0.4,Switzerland
Manuel Akanji,DF,25,6,6,514,5.7,0,0,0,0,0,1,0,0,0,0,0,0,Switzerland
Nico Elvedi,DF,24,6,6,540,6,0,0,0,0,0,1,0,0,0,0,0,0,Switzerland
Silvan Widmer,"DF,MF",27,0,0,,,,,,,,,,,,,,,Switzerland
Loris Benito,"MF,DF",29,2,2,154,1.7,1,2,1,0,0,0,0,0.58,1.17,1.75,0.58,1.75,Switzerland
Stephan Lichtsteiner,"MF,DF",37,4,4,316,3.5,0,0,0,0,0,1,0,0,0,0,0,0,Switzerland
Ricardo Rodríguez,"MF,DF",28,7,7,627,7,1,0,1,0,1,2,0,0.14,0,0.14,0.14,0.14,Switzerland
Michel Aebischer,MF,24,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Switzerland
Djibril Sow,MF,23,3,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Switzerland
Steven Zuber,MF,29,1,1,90,1,1,0,1,0,0,0,0,1,0,1,1,1,Switzerland
Michael Lang,MF,29,1,1,90,1,0,1,0,0,0,0,0,0,1,1,0,1,Switzerland
Kevin Mbabu,MF,25,2,1,112,1.2,0,0,0,0,0,1,0,0,0,0,0,0,Switzerland
Remo Freuler,MF,28,4,2,207,2.3,0,0,0,0,0,0,0,0,0,0,0,0,Switzerland
Edimilson Fernandes,MF,24,4,2,237,2.6,0,0,0,0,0,0,0,0,0,0,0,0,Switzerland
Denis Zakaria,MF,24,7,7,599,6.7,2,1,2,0,0,1,0,0.3,0.15,0.45,0.3,0.45,Switzerland
Granit Xhaka,MF,28,7,7,613,6.8,1,1,1,0,0,2,0,0.15,0.15,0.29,0.15,0.29,Switzerland
Ruben Vargas,"MF,FW",22,3,2,178,2,1,1,1,0,0,0,0,0.51,0.51,1.01,0.51,1.01,Switzerland
Albian Ajeti,"MF,FW",23,4,2,196,2.2,0,0,0,0,0,0,0,0,0,0,0,0,Switzerland
Breel Embolo,"MF,FW",23,5,5,399,4.4,0,2,0,0,0,0,0,0,0.45,0.45,0,0.45,Switzerland
Josip Drmić,FW,28,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Switzerland
Mario Gavranović,FW,31,2,1,95,1.1,1,0,1,0,0,0,0,0.95,0,0.95,0.95,0.95,Switzerland
Christian Fassnacht,FW,27,2,1,103,1.1,1,1,1,0,0,0,0,0.87,0.87,1.75,0.87,1.75,Switzerland
Cedric Itten,FW,24,2,1,110,1.2,3,1,3,0,0,0,0,2.45,0.82,3.27,2.45,3.27,Switzerland
Admir Mehmedi,FW,29,4,3,200,2.2,1,2,1,0,0,0,0,0.45,0.9,1.35,0.45,1.35,Switzerland
Haris Seferović,FW,28,3,3,270,3,1,0,1,0,0,0,0,0.33,0,0.33,0.33,0.33,Switzerland
Danny Ward,GK,27,0,0,,,,,,,,,,,,,,,Wales
Tom King,GK,25,0,0,,,,,,,,,,,,,,,Wales
Adam Davies,GK,28,0,0,,,,,,,,,,,,,,,Wales
Wayne Hennessey,GK,34,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,Wales
Declan John,DF,25,0,0,,,,,,,,,,,,,,,Wales
Paul Dummett,DF,29,0,0,,,,,,,,,,,,,,,Wales
Neil Taylor,DF,31,1,1,79,0.9,0,0,0,0,0,0,0,0,0,0,0,0,Wales
Chris Gunter,DF,31,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,Wales
Ashley Williams,DF,36,2,1,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,Wales
Joe Rodon,DF,23,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,Wales
James Lawrence,DF,28,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,Wales
Tom Lockyer,DF,26,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,Wales
Chris Mepham,DF,23,5,5,450,5,0,0,0,0,0,1,0,0,0,0,0,0,Wales
Connor Roberts,DF,25,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,Wales
Ben Davies,DF,27,8,7,641,7.1,0,1,0,0,0,1,0,0,0.14,0.14,0,0.14,Wales
Dylan Levitt,MF,20,0,0,,,,,,,,,,,,,,,Wales
Rabbi Matondo,MF,20,2,0,21,0.2,0,0,0,0,0,1,0,0,0,0,0,0,Wales
Will Vaulks,MF,27,3,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Wales
Aaron Ramsey,MF,30,2,1,121,1.3,2,0,2,0,0,0,0,1.49,0,1.49,1.49,1.49,Wales
David Brooks,MF,23,3,2,157,1.7,1,0,1,0,0,1,0,0.57,0,0.57,0.57,0.57,Wales
Jonny Williams,MF,27,3,2,160,1.8,0,0,0,0,0,1,0,0,0,0,0,0,Wales
Tom Lawrence,MF,27,2,2,168,1.9,0,0,0,0,0,0,0,0,0,0,0,0,Wales
Matthew Smith,MF,21,3,2,191,2.1,0,0,0,0,0,0,0,0,0,0,0,0,Wales
Joe Morrell,MF,24,4,2,213,2.4,0,0,0,0,0,1,0,0,0,0,0,0,Wales
Harry Wilson,MF,23,8,4,397,4.4,1,1,1,0,0,1,0,0.23,0.23,0.45,0.23,0.45,Wales
Ethan Ampadu,MF,20,7,5,385,4.3,0,0,0,0,0,2,0,0,0,0,0,0,Wales
Joe Allen,MF,30,7,7,630,7,0,0,0,0,0,3,0,0,0,0,0,0,Wales
Daniel James,MF,23,8,8,680,7.6,1,1,1,0,0,3,0,0.13,0.13,0.26,0.13,0.26,Wales
Gareth Bale,"MF,FW",31,8,8,686,7.6,2,1,2,0,0,2,0,0.26,0.13,0.39,0.26,0.39,Wales
Ben Woodburn,"FW,MF",21,0,0,,,,,,,,,,,,,,,Wales
George Thomas,"FW,MF",23,0,0,,,,,,,,,,,,,,,Wales
Ryan Hedges,"FW,MF",25,0,0,,,,,,,,,,,,,,,Wales
Tyler Roberts,"FW,MF",22,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Wales
Sam Vokes,FW,31,2,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Wales
Kieffer Moore,FW,28,4,4,355,3.9,2,1,2,0,0,1,0,0.51,0.25,0.76,0.51,0.76,Wales
Anssi Jaakkola,GK,33,0,0,,,,,,,,,,,,,,,Finland
Jesse Joronen,GK,27,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Finland
Lukáš Hrádecký,GK,31,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,Finland
Daniel O'Shaughnessy,DF,26,0,0,,,,,,,,,,,,,,,Finland
Juha Pirinen,DF,29,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Finland
Leo Väisänen,DF,23,2,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,Finland
Albin Granlund,DF,31,2,2,118,1.3,0,0,0,0,0,0,0,0,0,0,0,0,Finland
Sauli Väisänen,DF,26,4,3,331,3.7,0,0,0,0,0,1,0,0,0,0,0,0,Finland
Paulus Arajuuri,DF,32,6,6,479,5.3,0,0,0,0,0,1,0,0,0,0,0,0,Finland
Jere Uronen,DF,26,6,6,540,6,0,0,0,0,0,1,0,0,0,0,0,0,Finland
Jukka Raitala,DF,32,7,6,588,6.5,0,0,0,0,0,1,0,0,0,0,0,0,Finland
Joona Toivio,DF,32,8,8,688,7.6,0,0,0,0,0,1,0,0,0,0,0,0,Finland
Niko Markkula,"DF,MF",30,0,0,,,,,,,,,,,,,,,Finland
Thomas Lam,"DF,MF",27,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Finland
Rasmus Karjalainen,MF,24,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Finland
Petteri Forsell,MF,30,1,1,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Finland
Simon Skrabb,MF,26,3,2,173,1.9,0,0,0,0,0,0,0,0,0,0,0,0,Finland
Rasmus Schüller,MF,29,6,2,204,2.3,0,1,0,0,0,1,0,0,0.44,0.44,0,0.44,Finland
Joni Kauko,MF,30,5,2,224,2.5,0,0,0,0,0,2,0,0,0,0,0,0,Finland
Lassi Lappalainen,MF,22,4,3,235,2.6,0,1,0,0,0,0,0,0,0.38,0.38,0,0.38,Finland
Pyry Soiri,MF,26,7,3,280,3.1,0,0,0,0,0,0,0,0,0,0,0,0,Finland
Tim Sparv,MF,33,5,5,380,4.2,0,0,0,0,0,1,0,0,0,0,0,0,Finland
Glen Kamara,MF,25,8,8,716,8,0,0,0,0,0,1,0,0,0,0,0,0,Finland
Robin Lod,"MF,FW",27,8,8,720,8,0,2,0,0,0,0,0,0,0.25,0.25,0,0.25,Finland
Robert Taylor,"FW,MF",26,0,0,,,,,,,,,,,,,,,Finland
Jasse Tuominen,"FW,MF",25,4,3,282,3.1,1,0,1,0,0,0,0,0.32,0,0.32,0.32,0.32,Finland
Joel Pohjanpalo,FW,26,2,0,83,0.9,1,1,1,0,0,0,0,1.08,1.08,2.17,1.08,2.17,Finland
Fredrik Jensen,FW,23,3,1,70,0.8,1,0,1,0,0,0,0,1.29,0,1.29,1.29,1.29,Finland
Benjamin Källman,FW,22,1,1,90,1,1,0,1,0,0,0,0,1,0,1,1,1,Finland
Teemu Pukki,FW,30,8,8,707,7.9,10,0,7,3,3,1,0,1.27,0,1.27,0.89,0.89,Finland
Andrey Lunyov,GK,29,0,0,,,,,,,,,,,,,,,Russia
Soslan Dzhanayev,GK,33,0,0,,,,,,,,,,,,,,,Russia
Anton Shunin,GK,34,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Russia
Guilherme Marinato,GK,35,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,Russia
Dmitri Chistyakov,DF,27,0,0,,,,,,,,,,,,,,,Russia
Vyacheslav Karavayev,DF,25,1,0,53,0.6,0,0,0,0,0,1,0,0,0,0,0,0,Russia
Maksim Belyayev,DF,29,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Russia
Sergei Petrov,DF,30,3,3,217,2.4,1,2,1,0,0,1,0,0.41,0.83,1.24,0.41,1.24,Russia
Mário Fernandes,DF,30,6,6,540,6,1,1,1,0,0,0,0,0.17,0.17,0.33,0.17,0.33,Russia
Fyodor Kudryashov,DF,33,7,6,576,6.4,1,1,1,0,0,1,0,0.16,0.16,0.31,0.16,0.31,Russia
Andrei Semyonov,DF,31,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,Russia
Georgi Dzhikiya,DF,27,8,8,720,8,1,0,1,0,0,0,0,0.12,0,0.12,0.12,0.12,Russia
Roman Neustädter,"DF,MF",32,0,0,,,,,,,,,,,,,,,Russia
Ruslan Kambolov,"DF,MF",31,0,0,,,,,,,,,,,,,,,Russia
Yevgeni Chernov,"DF,MF",28,0,0,,,,,,,,,,,,,,,Russia
Vladislav Ignatyev,"DF,FW",34,0,0,,,,,,,,,,,,,,,Russia
Pavel Mogilevets,MF,28,0,0,,,,,,,,,,,,,,,Russia
Daniil Fomin,MF,23,0,0,,,,,,,,,,,,,,,Russia
Aleksandr Erokhin,MF,31,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Russia
Zelimkhan Bakayev,MF,24,3,1,144,1.6,0,0,0,0,0,0,0,0,0,0,0,0,Russia
Dmitri Barinov,MF,24,4,1,147,1.6,0,0,0,0,0,1,0,0,0,0,0,0,Russia
Daler Kuzyaev,MF,28,3,1,149,1.7,1,0,1,0,0,0,0,0.6,0,0.6,0.6,0.6,Russia
Ilzat Akhmetov,MF,23,5,2,137,1.5,0,0,0,0,0,1,0,0,0,0,0,0,Russia
Roman Zobnin,MF,26,6,4,334,3.7,0,0,0,0,0,1,0,0,0,0,0,0,Russia
Magomed Ozdoyev,MF,28,8,8,688,7.6,2,1,2,0,0,1,0,0.26,0.13,0.39,0.26,0.39,Russia
Anton Miranchuk,"MF,FW",25,3,3,177,2,0,1,0,0,0,0,0,0,0.51,0.51,0,0.51,Russia
Aleksei Miranchuk,"MF,FW",25,4,3,241,2.7,1,0,1,0,0,0,0,0.37,0,0.37,0.37,0.37,Russia
Yuri Zhirkov,"MF,FW",37,4,4,294,3.3,0,0,0,0,0,0,0,0,0,0,0,0,Russia
Aleksei Ionov,"MF,FW",31,8,6,536,6,2,0,2,0,0,0,0,0.34,0,0.34,0.34,0.34,Russia
Aleksandr Golovin,"MF,FW",24,7,6,570,6.3,2,4,2,0,0,1,0,0.32,0.63,0.95,0.32,0.95,Russia
Reziuan Mirzov,"FW,MF",27,0,0,,,,,,,,,,,,,,,Russia
Fyodor Smolov,"FW,MF",30,1,0,31,0.3,2,0,2,0,0,0,0,5.81,0,5.81,5.81,5.81,Russia
