Player,Pos,Age,90s,Goals,Shots,Shots on target,Shots on target %,Shots per 90 minutes,Shots on target per 90 minutes,Goal per shot,Goals per shot on target,PK,PKatt,Team
Kasper Dolberg,FW,23,3.1,2,9,4,44.4,2.93,1.3,0.22,0.5,0,0,Denmark
Andriy Pyatov,GK,36,6,0,0,0,,0,0,,,0,0,Ukraine
Ihor Plastun,DF,30,0,0,0,0,,0,0,,,0,0,Ukraine
Eduard Sobol,DF,25,1,0,0,0,,0,0,,,0,0,NorthMacedonia
Serhiy Bolbat,DF,27,2,0,0,0,,0,0,,,0,0,Ukraine
Oleksandr Karavayev,DF,28,4,0,3,1,33.3,0.75,0.25,0,0,0,0,Ukraine
Vitaliy Mykolenko,DF,21,5,0,1,0,0,0.2,0,0,,0,0,Ukraine
Mykola Matviyenko,DF,24,6,0,0,0,,0,0,,,0,0,Ukraine
Serhiy Kryvtsov,DF,29,6,0,3,1,33.3,0.5,0.17,0,0,0,0,Ukraine
Yevhen Shakhov,MF,30,0,0,0,0,,0,0,,,0,0,Ukraine
Volodymyr Shepelyev,MF,23,0.4,0,1,0,0,2.73,0,0,,0,0,Ukraine
Serhiy Sydorchuk,MF,29,1.2,0,1,0,0,0.83,0,0,,0,0,Ukraine
Viktor Kovalenko,MF,24,1.3,0,1,0,0,0.75,0,0,,0,0,Ukraine
Yevhen Konoplyanka,MF,31,2.4,2,10,4,40,4.21,1.68,0.2,0.5,0,0,Ukraine
Viktor Tsyhankov,MF,23,3.4,2,12,6,50,3.48,1.74,0.17,0.33,0,0,Ukraine
Taras Stepanenko,MF,31,4.4,0,4,0,0,0.91,0,0,,0,0,Ukraine
Oleksandr Zinchenko,MF,24,5,1,10,3,30,2,0.6,0.1,0.33,0,0,Ukraine
Ruslan Malinovskyi,MF,27,5.8,3,15,8,53.3,2.57,1.37,0.2,0.38,0,0,Ukraine
Roman Bezus,"FW,MF",30,0.1,0,0,0,,0,0,,,0,0,Ukraine
Marlos,"FW,MF",32,2.3,1,3,1,33.3,1.29,0.43,0.33,1,0,0,Ukraine
Andriy Yarmolenko,"FW,MF",31,3.4,1,6,1,16.7,1.78,0.3,0.17,1,0,0,Ukraine
Roman Yaremchuk,"FW,MF",25,4.2,4,12,10,83.3,2.83,2.36,0.33,0.4,0,0,Ukraine
Artem Besyedin,FW,24,0.2,1,1,1,100,6.43,6.43,1,1,0,0,Ukraine
Artem Kravets,FW,31,0.3,0,1,1,100,3.75,3.75,0,0,0,0,Ukraine
Júnior Moraes,FW,33,1.3,0,5,0,0,3.88,0,0,,0,0,Ukraine
Stole Dimitrievski,GK,27,10,0,0,0,,0,0,,,0,0,NorthMacedonia
Gjoko Zajkov,DF,25,0.8,0,1,1,100,1.2,1.2,0,0,0,0,NorthMacedonia
Mario Mladenovski,DF,20,0.5,0,0,0,,0,0,,,0,0,NorthMacedonia
Darko Velkovski,DF,25,7.8,1,2,1,50,0.26,0.13,0.5,1,0,0,NorthMacedonia
Visar Musliu,DF,26,7.9,0,1,0,0,0.13,0,0,,0,0,NorthMacedonia
Kire Ristevski,"DF,MF",30,5.8,0,1,1,100,0.17,0.17,0,0,0,0,NorthMacedonia
Egzon Bejtulai,"DF,MF",27,6.6,0,0,0,,0,0,,,0,0,NorthMacedonia
Stefan Ristovski,"DF,MF",28,7.6,0,3,1,33.3,0.4,0.13,0,0,0,0,NorthMacedonia
Ezgjan Alioski,"MF,DF",28,8,0,8,3,37.5,1,0.37,0,0,0,0,NorthMacedonia
Gjorgji Stoilov,MF,25,0,0,0,0,,0,0,,,0,0,NorthMacedonia
Ferhan Hasani,MF,30,0.3,0,0,0,,0,0,,,0,0,NorthMacedonia
Daniel Avramovski,MF,25,0.5,0,0,0,,0,0,,,0,0,NorthMacedonia
Kristijan Toshevski,MF,26,0.8,0,0,0,,0,0,,,0,0,NorthMacedonia
Tihomir Kostadinov,MF,24,2.1,0,2,0,0,0.95,0,0,,0,0,NorthMacedonia
Stefan Spirovski,MF,30,3.5,0,6,2,33.3,1.73,0.58,0,0,0,0,NorthMacedonia
Arijan Ademi,MF,29,5.6,1,5,2,40,0.89,0.36,0.2,0.5,0,0,NorthMacedonia
Enis Bardhi,MF,25,6.9,1,14,4,28.6,2.03,0.58,0.07,0.25,0,0,NorthMacedonia
Boban Nikolov,MF,26,7.3,1,7,3,42.9,0.96,0.41,0.14,0.33,0,0,NorthMacedonia
Aleksandar Trajkovski,"MF,FW",28,1.6,0,5,3,60,3.17,1.9,0,0,0,0,NorthMacedonia
Elif Elmas,"MF,FW",21,8.6,2,20,8,40,2.33,0.93,0.1,0.25,0,0,NorthMacedonia
Marjan Radeski,"FW,MF",25,0.5,0,0,0,,0,0,,,0,0,NorthMacedonia
Goran Pandev,"FW,MF",37,7.5,2,12,6,50,1.61,0.8,0.17,0.33,0,0,NorthMacedonia
Ivan Tričkovski,FW,33,1.4,0,2,1,50,1.41,0.7,0,0,0,0,NorthMacedonia
Vlatko Stojanovski,FW,23,1.5,1,4,2,50,2.61,1.3,0.25,0.5,0,0,NorthMacedonia
Ilija Nestorovski,FW,30,6.7,0,13,3,23.1,1.93,0.45,0,0,0,0,NorthMacedonia
Jasper Cillessen,GK,31,6,0,0,0,,0,0,,,0,0,Netherlands
Patrick van Aanholt,DF,30,1,0,4,1,25,4,1,0,0,0,0,Netherlands
Nathan Aké,DF,25,1.1,1,2,2,100,1.78,1.78,0.5,0.5,0,0,Netherlands
Denzel Dumfries,DF,24,1.5,0,1,0,0,0.67,0,0,,0,0,Netherlands
Joël Veltman,DF,29,3,0,2,1,50,0.67,0.33,0,0,0,0,Netherlands
Virgil van Dijk,DF,29,5,0,8,1,12.5,1.6,0.2,0,0,0,0,Netherlands
Daley Blind,DF,30,5,0,2,0,0,0.4,0,0,,0,0,Netherlands
Matthijs de Ligt,DF,21,6,0,5,2,40,0.83,0.33,0,0,0,0,Netherlands
Kevin Strootman,MF,30,0.3,0,0,0,,0,0,,,0,0,Netherlands
Calvin Stengs,MF,22,1,0,2,2,100,2,2,0,0,0,0,Netherlands
Steven Berghuis,MF,29,1,0,2,0,0,1.96,0,0,,0,0,Netherlands
Donny van de Beek,MF,23,2,0,3,0,0,1.49,0,0,,0,0,Netherlands
Davy Pröpper,MF,29,3,0,5,1,20,1.68,0.34,0,0,0,0,Netherlands
Marten de Roon,MF,29,2,0,0,0,,0,0,,,0,0,Netherlands
Georginio Wijnaldum,MF,30,5,7,21,14,66.7,4.2,2.8,0.33,0.5,0,0,Netherlands
Frenkie de Jong,MF,23,5.6,1,3,1,33.3,0.54,0.18,0.33,1,0,0,Netherlands
Memphis Depay,"FW,MF",26,3.5,3,15,7,46.7,4.29,2,0.2,0.43,0,0,Netherlands
Quincy Promes,"FW,MF",29,3.7,0,10,4,40,2.69,1.07,0,0,0,0,Netherlands
Wout Weghorst,FW,28,0.3,0,1,1,100,3.21,3.21,0,0,0,0,Netherlands
Myron Boadu,FW,20,0.5,1,3,2,66.7,6,4,0.33,0.5,0,0,Netherlands
Luuk de Jong,FW,30,1.6,1,6,2,33.3,3.7,1.23,0.17,0.5,0,0,Netherlands
Steven Bergwijn,FW,23,2,0,5,1,20,2.53,0.51,0,0,0,0,Netherlands
Donyell Malen,FW,22,2.3,1,7,3,42.9,3,1.29,0.14,0.33,0,0,Netherlands
Ryan Babel,FW,34,3.5,2,9,5,55.6,2.54,1.41,0.22,0.4,0,0,Netherlands
Alexander Schlager,GK,24,1,0,0,0,,0,0,,,0,0,Austria
Pavao Pervan,GK,33,1,0,0,0,,0,0,,,0,0,Austria
Heinz Lindner,GK,30,2,0,0,0,,0,0,,,0,0,Austria
Cican Stankovic,GK,28,4,0,0,0,,0,0,,,0,0,Austria
Maximilian Wöber,DF,22,1,0,2,0,0,2,0,0,,0,0,Austria
Christopher Trimmel,DF,33,1.5,0,3,0,0,2.03,0,0,,0,0,Austria
Stefan Posch,DF,23,4.2,1,3,1,33.3,0.72,0.24,0.33,1,0,0,Austria
Stefan Lainer,DF,28,5,1,7,3,42.9,1.4,0.6,0.14,0.33,0,0,Austria
Martin Hinteregger,DF,28,6,1,5,3,60,0.83,0.5,0.2,0.33,0,0,Austria
Andreas Ulmer,DF,35,7,0,4,1,25,0.57,0.14,0,0,0,0,Austria
Aleksandar Dragović,DF,29,7.4,0,4,1,25,0.54,0.14,0,0,0,0,Austria
Reinhold Ranftl,MF,29,0.2,0,0,0,,0,0,,,0,0,Austria
Thomas Goiginger,MF,27,0.8,0,0,0,,0,0,,,0,0,Austria
Florian Grillitsch,MF,25,1.1,0,4,1,25,3.6,0.9,0,0,0,0,Austria
Louis Schaub,MF,26,1.4,0,1,1,100,0.73,0.73,0,0,0,0,Austria
Xaver Schlager,MF,23,2,0,3,2,66.7,1.5,1,0,0,0,0,Austria
David Alaba,MF,28,4,1,13,4,30.8,3.27,1.01,0.08,0.25,0,0,Austria
Stefan Ilsanker,MF,31,4.3,0,8,0,0,1.87,0,0,,0,0,Austria
Julian Baumgartlinger,MF,33,5.3,0,3,1,33.3,0.56,0.19,0,0,0,0,Austria
Valentino Lazaro,MF,24,6.4,2,17,4,23.5,2.64,0.62,0.12,0.5,0,0,Austria
Konrad Laimer,MF,23,6.5,1,7,2,28.6,1.08,0.31,0.14,0.5,0,0,Austria
Marcel Sabitzer,MF,26,6.8,2,32,10,31.3,4.74,1.48,0.06,0.2,0,0,Austria
Florian Kainz,"FW,MF",28,0,0,0,0,,0,0,,,0,0,Austria
Lukas Hinterseer,"FW,MF",29,0.2,0,0,0,,0,0,,,0,0,Austria
Guido Burgstaller,"FW,MF",31,0.3,1,2,1,50,7.83,3.91,0.5,1,0,0,Austria
Karim Onisiwo,"FW,MF",28,0.6,0,4,1,25,6.79,1.7,0,0,0,0,Austria
Michael Gregoritsch,FW,26,2.3,1,8,4,50,3.5,1.75,0.13,0.25,0,0,Austria
Marko Arnautović,FW,31,5.9,4,27,15,55.6,4.6,2.56,0.07,0.13,2,2,Austria
Ondřej Kolář,GK,26,1,0,0,0,,0,0,,,0,0,CzechRepublic
Tomáš Vaclík,GK,31,6,0,0,0,,0,0,,,0,0,CzechRepublic
Ondřej Kúdela,DF,33,1,0,0,0,,0,0,,,0,0,CzechRepublic
Filip Novák,DF,30,2,0,1,0,0,0.5,0,0,,0,0,CzechRepublic
Jakub Brabec,DF,28,2.5,1,1,1,100,0.4,0.4,1,1,0,0,CzechRepublic
Vladimír Coufal,DF,28,3,0,4,2,50,1.33,0.67,0,0,0,0,CzechRepublic
Marek Suchý,DF,32,3.5,0,0,0,,0,0,,,0,0,CzechRepublic
Pavel Kadeřábek,DF,28,4,0,1,0,0,0.25,0,0,,0,0,CzechRepublic
Jan Bořil,DF,30,5,0,4,2,50,0.8,0.4,0,0,0,0,CzechRepublic
Ondřej Čelůstka,DF,31,7,1,3,1,33.3,0.43,0.14,0.33,1,0,0,CzechRepublic
Jaromír Zmrhal,MF,27,0,0,0,0,,0,0,,,0,0,CzechRepublic
Josef Hušbauer,MF,30,0.4,0,1,1,100,2.31,2.31,0,0,0,0,CzechRepublic
Jan Kopic,MF,30,1.1,0,2,1,50,1.82,0.91,0,0,0,0,CzechRepublic
Petr Ševčík,MF,26,0.9,0,1,0,0,1.14,0,0,,0,0,CzechRepublic
David Pavelka,MF,29,2,0,1,0,0,0.5,0,0,,0,0,CzechRepublic
Vladimír Darida,MF,30,5,1,17,5,29.4,3.4,1,0,0,1,1,CzechRepublic
Lukáš Masopust,MF,27,5,1,6,2,33.3,1.21,0.4,0.17,0.5,0,0,CzechRepublic
Alex Král,MF,22,6.6,1,13,4,30.8,1.98,0.61,0.08,0.25,0,0,CzechRepublic
Jakub Jankto,MF,25,6.6,1,14,4,28.6,2.12,0.61,0.07,0.25,0,0,CzechRepublic
Tomáš Souček,MF,25,7,1,22,5,22.7,3.14,0.71,0.05,0.2,0,0,CzechRepublic
Ladislav Krejčí,"FW,MF",28,0.3,0,1,1,100,3.46,3.46,0,0,0,0,CzechRepublic
Libor Kozák,FW,31,0,0,0,0,,0,0,,,0,0,CzechRepublic
Martin Doležal,FW,30,0.4,0,4,0,0,10.29,0,0,,0,0,CzechRepublic
Michal Krmenčík,FW,27,1,0,6,3,50,5.93,2.97,0,0,0,0,CzechRepublic
Zdeněk Ondrášek,FW,32,1.5,1,7,4,57.1,4.67,2.67,0.14,0.25,0,0,CzechRepublic
Patrik Schick,FW,25,4.2,4,15,7,46.7,3.58,1.67,0.2,0.43,1,1,CzechRepublic
Nick Pope,GK,28,1,0,0,0,,0,0,,,0,0,England
Jordan Pickford,GK,26,5,0,0,0,,0,0,,,0,0,England
Fikayo Tomori,DF,23,0.1,0,0,0,,0,0,,,0,0,England
Joe Gomez,DF,23,0.2,0,0,0,,0,0,,,0,0,England
John Stones,DF,26,1,0,0,0,,0,0,,,0,0,England
Danny Rose,DF,30,2,0,1,0,0,0.5,0,0,,0,0,England
Tyrone Mings,DF,27,2,0,0,0,,0,0,,,0,0,England
Trent Alexander-Arnold,DF,22,2.9,0,3,1,33.3,1.03,0.34,0,0,0,0,England
Kieran Trippier,DF,30,3,0,0,0,,0,0,,,0,0,England
Michael Keane,DF,28,3,0,5,0,0,1.67,0,0,,0,0,England
Ben Chilwell,DF,24,4,0,1,1,100,0.25,0.25,0,0,0,0,England
Harry Maguire,DF,27,6,0,3,1,33.3,0.5,0.17,0,0,0,0,England
James Maddison,MF,24,0.4,0,0,0,,0,0,,,0,0,England
Alex Oxlade-Chamberlain,MF,27,1.6,1,1,1,100,0.64,0.64,1,1,0,0,England
Mason Mount,MF,22,2.3,1,8,3,37.5,3.44,1.29,0.13,0.33,0,0,England
Ross Barkley,MF,27,2.9,2,5,2,40,1.71,0.68,0.4,1,0,0,England
Harry Winks,MF,24,3,1,1,1,100,0.33,0.33,1,1,0,0,England
Jordan Henderson,MF,30,3.7,0,2,1,50,0.54,0.27,0,0,0,0,England
Declan Rice,MF,22,4,0,1,0,0,0.25,0,0,,0,0,England
Jadon Sancho,"MF,FW",20,3.2,2,3,3,100,0.95,0.95,0.67,0.67,0,0,England
Raheem Sterling,"MF,FW",26,4.6,4,12,10,83.3,2.62,2.18,0.33,0.4,0,0,England
Callum Wilson,FW,28,0.2,0,1,0,0,6,0,0,,0,0,England
Tammy Abraham,FW,23,0.4,1,1,1,100,2.43,2.43,1,1,0,0,England
Callum Hudson-Odoi,FW,20,0.6,0,2,1,50,3.1,1.55,0,0,0,0,England
Marcus Rashford,FW,23,3.5,3,14,8,57.1,4.05,2.32,0.21,0.38,0,0,England
Harry Kane,FW,27,5.5,10,26,17,65.4,4.76,3.11,0.27,0.41,3,4,England
Jon McLaughlin,GK,33,1,0,0,0,,0,0,,,0,0,Scotland
David Marshall,GK,35,9.7,0,0,0,,0,0,,,0,0,Scotland
Stuart Findlay,DF,25,1,1,1,1,100,1,1,1,1,0,0,Scotland
Kieran Tierney,DF,23,1.3,0,0,0,,0,0,,,0,0,Scotland
Michael Devlin,DF,27,2,0,2,0,0,0.99,0,0,,0,0,Scotland
Greg Taylor,DF,23,3,0,0,0,,0,0,,,0,0,Scotland
Liam Cooper,DF,29,3.3,0,2,0,0,0.6,0,0,,0,0,Scotland
Liam Palmer,DF,29,4,0,2,0,0,0.5,0,0,,0,0,Scotland
Scott McKenna,DF,24,4,0,5,2,40,1.25,0.5,0,0,0,0,Scotland
Declan Gallagher,DF,29,4.7,0,1,0,0,0.21,0,0,,0,0,Scotland
Charlie Mulgrew,DF,34,5,0,3,2,66.7,0.6,0.4,0,0,0,0,Scotland
Stephen O'Donnell,"DF,MF",28,6.5,0,4,2,50,0.61,0.31,0,0,0,0,Scotland
Andrew Robertson,"DF,MF",26,7.7,1,6,2,33.3,0.78,0.26,0.17,0.5,0,0,Scotland
Scott McTominay,"MF,DF",24,6.7,0,10,2,20,1.5,0.3,0,0,0,0,Scotland
Callum Paterson,"DF,FW",26,0.7,0,1,0,0,1.41,0,0,,0,0,Scotland
John Fleck,MF,29,1,0,0,0,,0,0,,,0,0,Scotland
Stuart Armstrong,MF,28,1,1,1,1,100,1.01,1.01,1,1,0,0,Scotland
Johnny Russell,MF,30,1.1,0,1,1,100,0.89,0.89,0,0,0,0,Scotland
Kenny McLean,MF,29,3.8,0,4,0,0,1.04,0,0,,0,0,Scotland
Ryan Jack,MF,28,4.3,0,4,1,25,0.94,0.23,0,0,0,0,Scotland
John McGinn,MF,26,7.6,7,21,10,47.6,2.76,1.32,0.33,0.7,0,0,Scotland
Callum McGregor,MF,27,10.1,0,13,2,15.4,1.28,0.2,0,0,0,0,Scotland
Robert Snodgrass,"MF,FW",33,2,0,3,0,0,1.5,0,0,,0,0,Scotland
Ryan Fraser,"MF,FW",26,3.8,0,4,2,50,1.05,0.52,0,0,0,0,Scotland
James Forrest,"MF,FW",29,4.7,0,9,4,44.4,1.9,0.85,0,0,0,0,Scotland
Ryan Christie,"MF,FW",25,5.4,2,18,9,50,3.35,1.67,0.11,0.22,0,0,Scotland
Leigh Griffiths,FW,30,0,0,0,0,,0,0,,,0,0,Scotland
Eamonn Brophy,FW,24,0.8,0,1,0,0,1.25,0,0,,0,0,Scotland
Matt Phillips,FW,29,1,0,3,2,66.7,3.03,2.02,0,0,0,0,Scotland
Lawrence Shankland,FW,25,2,1,7,2,28.6,3.44,0.98,0.14,0.5,0,0,Scotland
Steven Naismith,FW,34,1.5,1,5,2,40,3.26,1.3,0.2,0.5,0,0,Scotland
Lyndon Dykes,FW,25,1.9,0,0,0,,0,0,,,0,0,Scotland
Oliver Burke,FW,23,2.1,1,3,1,33.3,1.46,0.49,0.33,1,0,0,Scotland
Oliver McBurnie,FW,24,2.5,0,2,1,50,0.79,0.39,0,0,0,0,Scotland
Dominik Livaković,GK,26,6,0,0,0,,0,0,,,0,0,Croatia
Dino Perić,DF,26,1,0,0,0,,0,0,,,0,0,Croatia
Duje Ćaleta-Car,DF,24,1,0,1,1,100,1,1,0,0,0,0,Croatia
Karlo Bartolec,DF,25,1.8,0,1,1,100,0.55,0.55,0,0,0,0,Croatia
Tin Jedvaj,DF,25,4,0,1,0,0,0.25,0,0,,0,0,Croatia
Domagoj Vida,DF,31,5,0,4,0,0,0.8,0,0,,0,0,Croatia
Dejan Lovren,DF,31,5,1,3,1,33.3,0.6,0.2,0.33,1,0,0,Croatia
Borna Barišić,DF,28,6,0,2,0,0,0.33,0,0,,0,0,Croatia
Mile Škorić,MF,29,0,0,0,0,,0,0,,,0,0,Croatia
Milan Badelj,MF,31,0.3,0,0,0,,0,0,,,0,0,Croatia
Mario Pašalić,MF,25,0.4,0,3,0,0,8.44,0,0,,0,0,Croatia
Ivan Rakitić,MF,32,1.3,0,2,0,0,1.53,0,0,,0,0,Croatia
Mateo Kovačić,MF,26,1.8,0,0,0,,0,0,,,0,0,Croatia
Josip Brekalo,MF,22,2.9,0,11,5,45.5,3.82,1.74,0,0,0,0,Croatia
Nikola Vlašić,MF,23,3.9,3,9,7,77.8,2.3,1.79,0.33,0.43,0,0,Croatia
Marcelo Brozović,MF,28,5,0,9,1,11.1,1.8,0.2,0,0,0,0,Croatia
Luka Modrić,MF,35,5.7,2,9,4,44.4,1.57,0.7,0.11,0.25,1,1,Croatia
Ante Rebić,"MF,FW",27,3.6,0,6,2,33.3,1.67,0.56,0,0,0,0,Croatia
Ivan Perišić,"MF,FW",31,5.6,3,25,9,36,4.5,1.62,0.12,0.33,0,1,Croatia
Mislav Oršić,"FW,MF",28,0.2,0,1,0,0,6.43,0,0,,0,0,Croatia
Andrej Kramarić,FW,29,1,0,3,1,33.3,3,1,0,0,0,0,Croatia
Bruno Petković,FW,26,4.6,4,20,10,50,4.34,2.17,0.2,0.4,0,0,Croatia
Kristoffer Nordfeldt,GK,31,1,0,0,0,,0,0,,,0,0,Sweden
Robin Olsen,GK,31,7,0,0,0,,0,0,,,0,0,Sweden
Emil Krafth,DF,26,0.5,0,0,0,,0,0,,,0,0,Sweden
Riccardo Gagliolo,DF,30,1,0,2,0,0,2,0,0,,0,0,Sweden
Marcus Danielsson,DF,31,2,1,2,2,100,1,1,0.5,0.5,0,0,Sweden
Ludwig Augustinsson,DF,26,2,0,4,2,50,2,1,0,0,0,0,Sweden
