Player,Pos,Age,90s,Goals,Shots,Shots on target,Shots on target %,Shots per 90 minutes,Shots on target per 90 minutes,Goal per shot,Goals per shot on target,PK,PKatt,Team
Pontus Jansson,DF,29,3,0,2,1,50,0.67,0.33,0,0,0,0,Sweden
Filip Helander,DF,27,3,0,1,0,0,0.33,0,0,,0,0,Sweden
Victor Lindelöf,DF,26,4,1,2,1,50,0.5,0.25,0.5,1,0,0,Sweden
Andreas Granqvist,DF,35,5,0,1,1,100,0.2,0.2,0,0,0,0,Sweden
Pierre Bengtsson,DF,32,5,0,3,2,66.7,0.6,0.4,0,0,0,0,Sweden
Mikael Lustig,DF,34,6.5,0,2,1,50,0.31,0.15,0,0,0,0,Sweden
Gustav Svensson,"DF,MF",33,1,0,0,0,,0,0,,,0,0,Sweden
Jimmy Durmaz,MF,31,0.2,0,0,0,,0,0,,,0,0,Sweden
Jakob Johansson,MF,30,0.7,0,0,0,,0,0,,,0,0,Sweden
Ken Sema,MF,27,0.7,0,1,0,0,1.41,0,0,,0,0,Sweden
Muamer Tanković,MF,25,1,0,2,2,100,2,2,0,0,0,0,Sweden
Mattias Svanberg,MF,22,1,1,3,1,33.3,3,1,0.33,1,0,0,Sweden
Viktor Claesson,MF,29,1.3,1,3,1,33.3,2.33,0.78,0.33,1,0,0,Sweden
Seb Larsson,MF,35,5.6,2,5,3,60,0.89,0.53,0,0,2,2,Sweden
Emil Forsberg,MF,29,6,1,19,8,42.1,3.17,1.33,0.05,0.13,0,0,Sweden
Albin Ekdal,MF,31,6,0,6,0,0,1,0,0,,0,0,Sweden
Kristoffer Olsson,MF,25,7.1,0,4,1,25,0.57,0.14,0,0,0,0,Sweden
Dejan Kulusevski,"FW,MF",20,0.3,0,1,1,100,3.46,3.46,0,0,0,0,Sweden
Robin Quaison,"FW,MF",27,6.4,3,16,8,50,2.5,1.25,0.19,0.38,0,0,Sweden
John Guidetti,FW,28,0.4,1,2,2,100,5.63,5.63,0.5,0.5,0,0,Sweden
Sebastian Andersson,FW,29,1,1,3,1,33.3,2.97,0.99,0.33,1,0,0,Sweden
Alexander Isak,FW,21,3.7,3,12,5,41.7,3.22,1.34,0.25,0.6,0,0,Sweden
Marcus Berg,FW,34,5.6,2,14,9,64.3,2.5,1.6,0.14,0.22,0,0,Sweden
Marek Rodák,GK,24,2.7,0,0,0,,0,0,,,0,0,Slovakia
Martin Dúbravka,GK,32,7,0,0,0,,0,0,,,0,0,Slovakia
Róbert Mazáň,DF,26,1.3,0,0,0,,0,0,,,0,0,Slovakia
Tomáš Hubočan,DF,35,1.3,0,0,0,,0,0,,,0,0,Slovakia
Norbert Gyömbér,DF,28,2.1,0,0,0,,0,0,,,0,0,Slovakia
Martin Valjent,DF,25,2.3,0,0,0,,0,0,,,0,0,Slovakia
Ľubomír Šatka,DF,25,2.3,0,0,0,,0,0,,,0,0,Slovakia
Denis Vavro,DF,24,6.2,0,3,0,0,0.48,0,0,,0,0,Slovakia
Dávid Hancko,DF,23,7,1,5,3,60,0.71,0.43,0.2,0.33,0,0,Slovakia
Peter Pekarík,DF,34,7.7,0,6,1,16.7,0.78,0.13,0,0,0,0,Slovakia
Milan Škriniar,DF,25,8.3,0,2,0,0,0.24,0,0,,0,0,Slovakia
Ján Greguš,MF,30,0.7,0,1,0,0,1.41,0,0,,0,0,Slovakia
Patrik Hrošovský,MF,28,2.1,0,3,0,0,1.44,0,0,,0,0,Slovakia
Stanislav Lobotka,MF,26,7.6,1,2,1,50,0.26,0.13,0.5,1,0,0,Slovakia
Juraj Kucka,MF,33,8.7,3,27,8,29.6,3.1,0.92,0.11,0.38,0,0,Slovakia
Marek Hamšík,MF,33,9.4,3,9,6,66.7,0.95,0.64,0.33,0.5,0,0,Slovakia
Miroslav Stoch,"FW,MF",31,0.2,0,1,0,0,4.09,0,0,,0,0,Slovakia
Michal Ďuriš,"FW,MF",32,1.6,1,3,2,66.7,1.84,1.22,0.33,0.5,0,0,Slovakia
Róbert Mak,"FW,MF",29,6.3,1,15,9,60,2.4,1.44,0.07,0.11,0,0,Slovakia
Albert Rusnák,"FW,MF",26,7.4,0,8,2,25,1.08,0.27,0,0,0,0,Slovakia
Pavol Šafranko,FW,26,0.1,0,0,0,,0,0,,,0,0,Slovakia
Samuel Mráz,FW,23,0.6,0,0,0,,0,0,,,0,0,Slovakia
Jaroslav Mihalík,FW,26,0.8,0,0,0,,0,0,,,0,0,Slovakia
Matúš Bero,FW,25,1,0,3,1,33.3,3,1,0,0,0,0,Slovakia
Lukáš Haraslín,FW,24,2.2,0,5,2,40,2.31,0.92,0,0,0,0,Slovakia
Ondrej Duda,FW,26,4.1,0,6,3,50,1.46,0.73,0,0,0,0,Slovakia
Róbert Boženík,FW,21,4.9,3,13,7,53.8,2.68,1.44,0.23,0.43,0,0,Slovakia
Wojciech Szczęsny,GK,30,4,0,0,0,,0,0,,,0,0,Spain
Łukasz Fabiański,GK,35,4,0,0,0,,0,0,,,0,0,Poland
Artur Jędrzejczyk,DF,33,0.9,0,1,0,0,1.07,0,0,,0,0,Poland
Łukasz Piszczek,DF,35,0.5,0,1,0,0,2.05,0,0,,0,0,Poland
Michał Pazdan,DF,33,1,0,0,0,,0,0,,,0,0,Poland
Maciej Rybus,DF,31,1.1,0,1,0,0,0.89,0,0,,0,0,Poland
Arkadiusz Reca,DF,25,3.1,0,0,0,,0,0,,,0,0,Poland
Bartosz Bereszyński,DF,28,5,0,1,0,0,0.2,0,0,,0,0,Poland
Tomasz Kędziora,DF,26,6.5,0,1,0,0,0.15,0,0,,0,0,Poland
Kamil Glik,DF,32,6.1,0,3,1,33.3,0.49,0.16,0,0,0,0,Poland
Jan Bednarek,DF,24,8,0,4,0,0,0.5,0,0,,0,0,Poland
Kamil Jóźwiak,MF,22,0.1,0,0,0,,0,0,,,0,0,Poland
Dominik Furman,MF,28,0.1,0,0,0,,0,0,,,0,0,Poland
Damian Kądzior,MF,28,0.2,1,1,1,100,6.43,6.43,1,1,0,0,Poland
Jakub Błaszczykowski,MF,35,0.4,0,0,0,,0,0,,,0,0,Poland
Przemysław Frankowski,MF,25,1.9,1,3,2,66.7,1.62,1.08,0.33,0.5,0,0,Poland
Jacek Góralski,MF,28,2.2,1,1,1,100,0.46,0.46,1,1,0,0,Poland
Krystian Bielik,MF,23,2.2,0,2,0,0,0.9,0,0,,0,0,Poland
Sebastian Szymański,MF,21,3.6,1,9,3,33.3,2.49,0.83,0.11,0.33,0,0,Poland
Mateusz Klich,MF,30,3.6,0,1,0,0,0.28,0,0,,0,0,Poland
Kamil Grosicki,MF,32,5.8,1,13,5,38.5,2.25,0.87,0.08,0.2,0,0,Poland
Grzegorz Krychowiak,MF,31,7.9,1,19,5,26.3,2.4,0.63,0.05,0.2,0,0,Poland
Piotr Zieliński,MF,26,8,0,16,6,37.5,2,0.75,0,0,0,0,Poland
Arkadiusz Milik,FW,26,0.5,1,2,1,50,4.39,2.2,0.5,1,0,0,Poland
Dawid Kownacki,FW,23,0.8,0,0,0,,0,0,,,0,0,Poland
Krzysztof Piątek,FW,25,3.3,3,9,4,44.4,2.76,1.23,0.33,0.75,0,0,Poland
Robert Lewandowski,FW,32,7.3,5,21,9,42.9,2.87,1.23,0.19,0.44,1,1,Poland
Pau López,GK,26,1,0,0,0,,0,0,,,0,0,Spain
David de Gea,GK,30,1.7,0,0,0,,0,0,,,0,0,Spain
Kepa Arrizabalaga,GK,26,6.3,0,0,0,,0,0,,,0,0,Spain
Unai Núñez,DF,24,0.1,0,0,0,,0,0,,,0,0,Spain
Pau Torres,DF,24,0.3,1,1,1,100,3,3,1,1,0,0,Spain
Diego Llorente,DF,27,1.4,0,1,1,100,0.71,0.71,0,0,0,0,Spain
Jordi Alba,DF,31,2,0,1,1,100,0.5,0.5,0,0,0,0,Spain
Iñigo Martínez,DF,29,3,0,1,0,0,0.33,0,0,,0,0,Spain
Mario Hermoso,DF,25,3.1,0,4,3,75,1.3,0.97,0,0,0,0,Spain
Raúl Albiol,DF,35,3.3,0,1,0,0,0.3,0,0,,0,0,Spain
Dani Carvajal,DF,29,3.9,0,4,1,25,1.03,0.26,0,0,0,0,Spain
José Luis Gayà,DF,25,4,1,4,1,25,1,0.25,0.25,1,0,0,Spain
Jesús Navas,DF,35,4.4,2,3,2,66.7,0.68,0.45,0.67,1,0,0,Spain
Sergio Ramos,DF,34,6.8,3,21,9,42.9,3.1,1.33,0.05,0.11,2,2,Spain
Sergi Roberto,"MF,DF",28,2,0,1,0,0,0.5,0,0,,0,0,Spain
Juan Bernat,"DF,FW",27,3.6,0,2,1,50,0.56,0.28,0,0,0,0,Spain
Sergio Canales,MF,29,1,0,2,0,0,2,0,0,,0,0,Spain
Daniel Parejo,MF,31,2,0,6,1,16.7,3,0.5,0,0,0,0,Spain
Thiago Alcántara,MF,29,2.7,0,6,2,33.3,2.2,0.73,0,0,0,0,Spain
Saúl Ñíguez,MF,26,3.7,1,13,2,15.4,3.5,0.54,0.08,0.5,0,0,Spain
Sergio Busquets,MF,32,4,0,3,1,33.3,0.75,0.25,0,0,0,0,Spain
Rodri,MF,24,5.1,0,6,4,66.7,1.17,0.78,0,0,0,0,Spain
Fabián Ruiz Peña,MF,24,5.2,1,15,4,26.7,2.89,0.77,0.07,0.25,0,0,Spain
Santi Cazorla,"MF,FW",36,2.6,1,8,3,37.5,3.05,1.14,0.13,0.33,0,0,Spain
Dani Olmo,"FW,MF",22,0.3,1,3,3,100,10.8,10.8,0.33,0.33,0,0,Spain
Iker Muniain,"FW,MF",28,0.4,0,0,0,,0,0,,,0,0,Spain
Iago Aspas,FW,33,0.6,0,2,0,0,3.27,0,0,,0,0,Spain
Suso,FW,27,0.7,0,3,0,0,4.03,0,0,,0,0,Spain
Pablo Sarabia,FW,28,1.4,1,9,3,33.3,6.33,2.11,0.11,0.33,0,0,Spain
Paco Alcácer,FW,27,1.9,3,15,7,46.7,7.71,3.6,0.2,0.43,0,0,Spain
Isco,FW,28,1.8,0,7,2,28.6,3.87,1.1,0,0,0,0,Spain
Marco Asensio,FW,25,2.1,0,11,5,45.5,5.24,2.38,0,0,0,0,Spain
Dani Ceballos,FW,24,2.5,0,2,0,0,0.79,0,0,,0,0,Spain
Gerard Moreno,FW,28,2.6,3,16,4,25,6.1,1.53,0.19,0.75,0,0,Spain
Mikel Oyarzabal,FW,23,3.3,2,6,3,50,1.8,0.9,0.33,0.67,0,0,Spain
Álvaro Morata,FW,28,3.9,4,12,7,58.3,3.09,1.81,0.25,0.43,1,1,Spain
Rodrigo,FW,29,4,3,11,4,36.4,2.77,1.01,0.27,0.75,0,0,Spain
Rui Patrício,GK,32,6,0,0,0,,0,0,,,0,0,Portugal
Mário Rui,DF,29,1,0,2,1,50,2,1,0,0,0,0,Portugal
João Cancelo,DF,26,1.3,0,1,0,0,0.78,0,0,,0,0,Portugal
Ricardo Pereira,DF,27,2,0,0,0,,0,0,,,0,0,Portugal
Pepe,DF,37,2,0,1,0,0,0.5,0,0,,0,0,Portugal
Nélson Semedo,DF,27,2.7,0,1,0,0,0.37,0,0,,0,0,Portugal
José Fonte,DF,37,4,0,3,1,33.3,0.75,0.25,0,0,0,0,Portugal
Raphaël Guerreiro,DF,27,5,0,3,1,33.3,0.6,0.2,0,0,0,0,Portugal
Rúben Dias,DF,23,6,0,2,0,0,0.33,0,0,,0,0,Portugal
João Mário,MF,28,0.8,0,1,1,100,1.29,1.29,0,0,0,0,Portugal
Pizzi,MF,31,1.7,1,2,1,50,1.18,0.59,0.5,1,0,0,Portugal
William Carvalho,MF,28,2,2,3,2,66.7,1.5,1,0.67,1,0,0,Portugal
Rúben Neves,MF,23,2,0,1,0,0,0.49,0,0,,0,0,Portugal
João Moutinho,MF,34,2.2,0,1,0,0,0.45,0,0,,0,0,Portugal
Danilo Pereira,MF,29,4,0,6,2,33.3,1.5,0.5,0,0,0,0,Portugal
Bruno Fernandes,MF,26,4.7,1,14,4,28.6,2.97,0.85,0.07,0.25,0,0,Portugal
Gonçalo Guedes,"MF,FW",24,1.6,2,3,2,66.7,1.93,1.29,0.67,1,0,0,Portugal
Bernardo Silva,"MF,FW",26,5.5,3,9,6,66.7,1.62,1.08,0.33,0.5,0,0,Portugal
Diogo Jota,"FW,MF",24,0.3,0,2,0,0,6.43,0,0,,0,0,Portugal
Rafa Silva,"FW,MF",27,0.4,0,2,1,50,5.14,2.57,0,0,0,0,Portugal
Bruma,"FW,MF",26,0.5,0,3,1,33.3,5.63,1.87,0,0,0,0,Portugal
Cristiano Ronaldo,"FW,MF",35,5.8,11,53,23,43.4,9.17,3.98,0.15,0.35,3,3,Portugal
André Silva,FW,25,0.8,0,0,0,,0,0,,,0,0,Portugal
Gonçalo Paciência,FW,26,1,1,9,4,44.4,9,4,0.11,0.25,0,0,Portugal
João Félix,FW,21,2.7,0,11,5,45.5,4.07,1.85,0,0,0,0,Portugal
Marc-André ter Stegen,GK,28,1,0,0,0,,0,0,,,0,0,Germany
Manuel Neuer,GK,34,6,0,0,0,,0,0,,,0,0,Germany
Robin Koch,DF,24,1,0,0,0,,0,0,,,0,0,Germany
Thilo Kehrer,DF,24,1,0,0,0,,0,0,,,0,0,Germany
Jonas Hector,DF,30,1,0,1,0,0,1,0,0,,0,0,Germany
Emre Can,DF,27,1.2,0,3,0,0,2.48,0,0,,0,0,Germany
Marcel Halstenberg,DF,29,2.5,1,1,1,100,0.4,0.4,1,1,0,0,Germany
Jonathan Tah,DF,24,3.6,0,1,0,0,0.28,0,0,,0,0,Germany
Matthias Ginter,DF,27,4.4,1,3,2,66.7,0.69,0.46,0.33,0.5,0,0,Germany
Niklas Süle,DF,25,5,0,1,0,0,0.2,0,0,,0,0,Germany
Niklas Stark,"DF,MF",25,0.3,0,0,0,,0,0,,,0,0,Germany
Nico Schulz,"DF,MF",27,3.5,0,2,1,50,0.57,0.29,0,0,0,0,Germany
Lukas Klostermann,"DF,MF",24,5.7,0,9,3,33.3,1.58,0.53,0,0,0,0,Germany
Sebastian Rudy,MF,30,0,0,0,0,,0,0,,,0,0,Germany
Nadiem Amiri,MF,24,0.2,0,1,0,0,6,0,0,,0,0,Germany
Suat Serdar,MF,23,0.4,0,1,0,0,2.81,0,0,,0,0,Germany
Kai Havertz,MF,21,1.6,0,2,0,0,1.26,0,0,,0,0,Germany
Leroy Sané,MF,25,2,2,9,4,44.4,4.5,2,0.22,0.5,0,0,Germany
Julian Brandt,MF,24,3.4,1,7,3,42.9,2.03,0.87,0.14,0.33,0,0,Germany
Toni Kroos,MF,31,4,3,14,8,57.1,3.5,2,0.14,0.25,1,1,Germany
İlkay Gündoğan,MF,30,4.8,3,12,3,25,2.5,0.62,0.17,0.67,1,1,Germany
Joshua Kimmich,MF,25,7,0,10,2,20,1.43,0.29,0,0,0,0,Germany
Leon Goretzka,"MF,FW",25,2.9,4,12,6,50,4.12,2.06,0.33,0.67,0,0,Germany
Julian Draxler,"FW,MF",27,0.6,0,2,1,50,3.1,1.55,0,0,0,0,Germany
Marco Reus,"FW,MF",31,4,3,12,7,58.3,3.01,1.75,0.25,0.43,0,0,Germany
Serge Gnabry,"FW,MF",25,5.6,7,26,11,42.3,4.65,1.97,0.27,0.64,0,0,Germany
Luca Waldschmidt,FW,24,0.8,0,1,1,100,1.27,1.27,0,0,0,0,Germany
Timo Werner,FW,24,2.7,2,18,8,44.4,6.61,2.94,0.11,0.25,0,0,Germany
Péter Gulácsi,GK,30,8,0,0,0,,0,0,,,0,0,Hungary
Zsolt Nagy,DF,27,1,0,0,0,,0,0,,,0,0,Hungary
Endre Botka,DF,26,1.1,0,2,0,0,1.82,0,0,,0,0,Hungary
Tamás Kádár,DF,30,1.5,0,2,1,50,1.33,0.67,0,0,0,0,Hungary
Attila Szalai,DF,23,2,0,2,0,0,1,0,0,,0,0,
Ádám Lang,DF,28,2.5,0,0,0,,0,0,,,0,0,Hungary
Mihály Korhut,DF,32,4,1,2,1,50,0.5,0.25,0.5,1,0,0,Hungary
Botond Baráth,DF,28,5,0,3,0,0,0.6,0,0,,0,0,Hungary
Gergő Lovrencsics,DF,32,5.7,0,2,0,0,0.35,0,0,,0,0,Hungary
Willi Orban,DF,28,7,3,7,5,71.4,1,0.71,0.43,0.6,0,0,Hungary
Loïc Nego,"DF,MF",30,0.3,1,1,1,100,3.21,3.21,1,1,0,0,Hungary
Norbert Könyves,"DF,FW",31,0.1,0,0,0,,0,0,,,0,0,Hungary
Barnabás Bese,"DF,FW",26,0.8,0,0,0,,0,0,,,0,0,Hungary
Dániel Gazdag,MF,24,0.1,0,0,0,,0,0,,,0,0,Hungary
Szilveszter Hangya,MF,27,0.2,0,0,0,,0,0,,,0,0,Hungary
István Kovács,MF,28,1.3,0,1,0,0,0.78,0,0,,0,0,Hungary
Dávid Sigér,MF,30,1.4,0,1,0,0,0.72,0,0,,0,0,Hungary
Dávid Holman,MF,27,1.5,1,3,1,33.3,1.96,0.65,0.33,1,0,0,Hungary
Dominik Nagy,MF,25,1.6,0,0,0,,0,0,,,0,0,Hungary
Zsolt Kalmár,MF,25,1.4,1,1,1,100,0.7,0.7,1,1,0,0,Hungary
Attila Fiola,MF,30,1.6,0,0,0,,0,0,,,0,0,Hungary
Máté Vida,MF,24,2,0,3,1,33.3,1.5,0.5,0,0,0,0,Hungary
Máté Pátkai,MF,32,2.5,1,2,1,50,0.8,0.4,0.5,1,0,0,Hungary
Filip Holender,MF,26,2.4,0,3,2,66.7,1.27,0.85,0,0,0,0,Hungary
László Kleinheisler,MF,26,2.6,0,7,3,42.9,2.73,1.17,0,0,0,0,Hungary
Balázs Dzsudzsák,MF,34,4.9,0,15,4,26.7,3.04,0.81,0,0,0,0,Hungary
Ádám Nagy,MF,25,5.2,0,0,0,,0,0,,,0,0,Hungary
Dominik Szoboszlai,MF,20,5.4,2,12,5,41.7,2.23,0.93,0.17,0.4,0,0,Hungary
Roland Sallai,"MF,FW",23,5.7,0,22,6,27.3,3.83,1.04,0,0,0,0,Hungary
Roland Varga,"FW,MF",31,0.7,0,1,0,0,1.36,0,0,,0,0,Hungary
Krisztián Németh,FW,32,0.1,0,0,0,,0,0,,,0,0,Hungary
Nemanja Nikolić,FW,33,0.6,1,1,1,100,1.76,1.76,1,1,0,0,Hungary
Ádám Szalai,FW,33,7.6,0,10,4,40,1.32,0.53,0,0,0,0,Hungary
Steve Mandanda,GK,35,4,0,0,0,,0,0,,,0,0,France
Hugo Lloris,GK,34,4,0,0,0,,0,0,,,0,0,France
Kurt Zouma,DF,26,1,1,4,2,50,4,2,0.25,0.5,0,0,France
Samuel Umtiti,DF,27,1,0,0,0,,0,0,,,0,0,France
Presnel Kimpembe,DF,25,1,0,1,0,0,1,0,0,,0,0,France
Ferland Mendy,DF,25,1.5,0,0,0,,0,0,,,0,0,France
Lucas Hernández,DF,24,1.9,0,1,0,0,0.53,0,0,,0,0,France
Lucas Digne,DF,27,3.8,0,6,0,0,1.58,0,0,,0,0,France
Benjamin Pavard,DF,24,5,0,4,1,25,0.79,0.2,0,0,0,0,France
Raphaël Varane,DF,27,7,1,8,3,37.5,1.14,0.43,0.13,0.33,0,0,France
Clément Lenglet,DF,25,7,1,6,2,33.3,0.86,0.29,0.17,0.5,0,0,France
Leo Dubois,"DF,MF",26,3,0,1,1,100,0.34,0.34,0,0,0,0,France
Tanguy Ndombele,MF,24,0.7,0,0,0,,0,0,,,0,0,France
Benjamin Mendy,MF,26,0.8,0,0,0,,0,0,,,0,0,France
Florian Thauvin,MF,28,0.9,1,3,1,33.3,3.38,1.13,0.33,1,0,0,France
Jonathan Ikone,MF,22,0.9,1,4,3,75,4.34,3.25,0.25,0.33,0,0,France
N'Golo Kanté,MF,29,1,0,0,0,,0,0,,,0,0,France
Thomas Lemar,MF,25,1.5,0,4,1,25,2.59,0.65,0,0,0,0,France
Paul Pogba,MF,27,2,0,2,0,0,1,0,0,,0,0,France
Blaise Matuidi,MF,33,3.3,0,4,0,0,1.2,0,0,,0,0,France
Moussa Sissoko,MF,31,5.3,0,4,3,75,0.75,0.57,0,0,0,0,France
Corentin Tolisso,MF,26,6,1,10,2,20,1.67,0.33,0.1,0.5,0,0,France
Kylian Mbappé,"MF,FW",22,3,1,8,4,50,2.67,1.33,0.13,0.25,0,0,France
Kingsley Coman,"MF,FW",24,5.2,3,9,4,44.4,1.74,0.77,0.33,0.75,0,0,France
Antoine Griezmann,"MF,FW",29,8,1,29,11,37.9,3.62,1.37,0.03,0.09,0,2,France
Nabil Fekir,"FW,MF",27,0.2,0,1,1,100,4.74,4.74,0,0,0,0,France
Wissam Ben Yedder,FW,30,3.1,2,8,3,37.5,2.59,0.97,0.25,0.67,0,0,France
Olivier Giroud,FW,34,5.8,4,23,10,43.5,3.94,1.71,0.09,0.2,2,2,France